userName,score,at,content
Pengguna Google,3,2026-03-04 10:49:10,mengapa tidak ada etalase keranjang kuningnya
Pengguna Google,2,2026-02-25 01:40:20,kenapa yah aplikasi tiktok saya tdak muncul keranjang d menu nya
Pengguna Google,1,2025-12-27 19:17:18,"shop ny tiba"" hilang.. saya jadi gak bisa pesan online untuk keluarga di rumah.. saya posisi kerja di Saudi"
Pengguna Google,5,2025-12-20 03:32:26,sangat berguna sekali utk mengetahui infirmasi² publik dan juga membantu utk bisa beli barang2 online karena disini sangat detail kualitas barang dan produknya bagus
Pengguna Google,1,2025-12-07 08:54:56,"nginstalnya makan paket banyak, semua banyakk tapi ngeleknyaa beuhhhhh"
Pengguna Google,1,2025-10-18 01:26:45,Tiktok shop sangat berat dan tidak ada perbaikan
Pengguna Google,5,2025-09-12 18:50:50,kenapa versi asia gaada tiktok shopnya?
Pengguna Google,1,2025-08-26 07:37:33,setelah di update malah fitur keranjang belanja hilang 🤦
Pengguna Google,1,2025-08-19 18:14:17,"tolong kasih saya apk belanja jg ,knpa tidak ada ,"
Pengguna Google,4,2025-08-01 21:14:47,gimana cara nya betulin tiktok pusat belanja nya jadi daerah saudi
Pengguna Google,3,2025-07-25 21:01:01,tidak bisa nonton live dan cekout barang
Pengguna Google,1,2025-07-25 16:40:15,jangan blokir akun orang sembarangan
Pengguna Google,5,2025-06-03 22:54:03,"app bagus tp boros ke paket internet nya doang,"
Pengguna Google,1,2025-05-17 12:23:40,gak ada tokonya
Pengguna Google,1,2025-05-05 15:28:50,"Kenapa pitur koin aku tidak ada, terus keranjang kuning juga harus punya 5000 pengikut dulu Di update juga malah gk bisa ke buka lagi aplikasi nya"
Pengguna Google,1,2025-04-25 15:18:59,gw uninstall sih ini aplikasi pokoknya karena pas gw buka situs web di chrome sering ke teleport ke tik tok di alihin ke toko online pokoknya gw udah muak sama nii aplikasi. 😡😡😡
Pengguna Google,5,2025-04-22 08:23:56,"Banyak Ilmu mulai dari tentang Makanan, Kreasi,agama,dan info belanja,Barang dll"
Pengguna Google,2,2025-03-22 11:41:50,tombol tiktok shop gw ilang
Pengguna Google,5,2024-07-04 23:42:48,Mantap buat main berbelanja dan cari teman
Pengguna Google,4,2024-06-02 03:59:25,plesee tiktok shop ya ganti yg indonesia
Pengguna Google,5,2024-04-24 14:25:42,Ini aplikasi apaan gw ingin belanja di Shop tapi gak bisa apk harus updat
Pengguna Google,5,2024-04-12 10:52:47,Kenapa COD di tiktok ku gak bisa Biasanya ok² aja jadi malas belanja Kalo COD hilangin
Pengguna Google,5,2024-04-05 03:10:11,Aplikasinya mantap bisa buat belanja dan juga buat hiburan
Pengguna Google,5,2024-03-15 00:47:26,"Tiktok oke, mau nonton dan belanja semua serba oke"
Pengguna Google,3,2024-02-27 09:40:01,Kok g ada fitur posting ulang sama tiktok shop?
Pengguna Google,4,2024-02-11 03:46:17,"Nonton video ko ngeleg banget Baniak bug nia, live pun pata2 , kadang paket full tetap aja eror."
Pengguna Google,1,2024-02-10 09:24:13,Kenapa tiktok sembarang blokir pesan Makin ga jelas aplikasi ini
Pengguna Google,4,2024-02-08 14:41:49,tiktok ini bagus Dan keren tapi di tempat nonton itu kadang ada live terus banyak iklan jualan tolong yah kalo bisa tiktok shop di tutup lagi soalnya bikin ribet Dan ngeganggu Dan tolong di andet lagi yah tiktok nya biar keren
